Source,Target,Type,Weight,videos
UCIwFjwMjI0y7PDBVEO9-bkQ,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
UCIwFjwMjI0y7PDBVEO9-bkQ,UCx8v-goujcpBVF7QKALgp3g,Undirected,1,1
UCdzxj65vwZieF3BI-tvQ9KQ,UCx8v-goujcpBVF7QKALgp3g,Undirected,1,1
UC4-PNFKYlFopHQSMM7HzDDQ,UC9Xz6XVzGI7akgrcM-WA45Q,Undirected,1,1
UC4-PNFKYlFopHQSMM7HzDDQ,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
UC9Xz6XVzGI7akgrcM-WA45Q,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
UCMNJ63oR69YW1zL5-fB1muA,UCdzxj65vwZieF3BI-tvQ9KQ,Undirected,1,1
UCdzxj65vwZieF3BI-tvQ9KQ,UCm-r6w9jCMsjFa0WgZ3yaPQ,Undirected,1,1
UCdzxj65vwZieF3BI-tvQ9KQ,UCjMYB5kdfljOLZJQQtb_1aA,Undirected,1,1
UCY2ntclVFmjjaneDotE2ItA,UCYJZgZnRR_SjmdfaZEzIlgQ,Undirected,10,10
UCIUKjjLfyf19Mr6Q_27GXlw,UCKqqDlf6lfo3ChRA4-gzusQ,Undirected,1,1
UCKqqDlf6lfo3ChRA4-gzusQ,UCw4NZm6hgJ0Gxwep1zBrpfQ,Undirected,1,1
UCF3fJRTFtKXgvRDUkkhI6Pw,UCTx6FNaC56YrHGNZTO13wFg,Undirected,1,1
UCF3fJRTFtKXgvRDUkkhI6Pw,UCnum3i_4srx9VUxZYg1dK0A,Undirected,1,1
UCE3D8K7yD-OcQCs9bEIMSsQ,UCGOmQQzZ6M2rzPHXPRZAN4g,Undirected,8,8
UCHkj014U2CQ2Nv0UZeYpE_A,UCIwFjwMjI0y7PDBVEO9-bkQ,Undirected,8,8
UCIwFjwMjI0y7PDBVEO9-bkQ,UCjvjzttL0LzIGzUU6rtQYXg,Undirected,1,1
UC4-PNFKYlFopHQSMM7HzDDQ,UCPZk380Uf1MdwtnsAfPeBxQ,Undirected,6,6
UCMNJ63oR69YW1zL5-fB1muA,UCo80hok0dbQapOH6dJl9Hqw,Undirected,1,1
UCJQplYDHQjYbmADXC-_y27Q,UCMNJ63oR69YW1zL5-fB1muA,Undirected,7,7
UC9OAeZY8zp976DwRvHGjuSA,UCKqqDlf6lfo3ChRA4-gzusQ,Undirected,12,12
UChFKaaRTIHlJYzhNauQuiqg,UCnum3i_4srx9VUxZYg1dK0A,Undirected,3,3
UCo80hok0dbQapOH6dJl9Hqw,UCpK9I4YjXOSv_u5bPL_ZJ9w,Undirected,10,10
UCoIge-4yQ9KHO-dhSTSIx4A,UCzQ8bo_uPXDVysSS5CQVtXA,Undirected,1,1
UCN6k6MSZIXPTsp5f7dST0rQ,UCdN4zKOIG6TbD4QC26OsiGA,Undirected,1,1
UC4_Ml7IdVOKoQhi59nii_pw,UCPEjInJRaA7KfATaJGzI-1A,Undirected,1,1
UCNq3G4qWGupJB_McJYct1Hg,UCR_Te2bbmsrqvYlAmkgA2sA,Undirected,1,1
UC6_cdWd42XwHkBycmn6PdGg,UCuX76tzdRUOcfjbnbAp6IwQ,Undirected,2,2
UCADdQftMymJVkv4P1YB6t2w,UCKqAJfYEVCPLbdgOm8QqSQg,Undirected,6,6
UC9poRemonIzSknOdXBSDQGg,UCGg-UqjRgzhYDPJMr-9HXCg,Undirected,2,2
UCPuec1MiqpW-gXqoOmUluaQ,UCW9DlnZWBQojUm0MDviLDLw,Undirected,11,11
UCEPRQVF6hxGGM9gi1ELaWHg,UCy7lzeDiq-UDKN4fUSCPEyw,Undirected,1,1
UCmo_i7RPc-3dTyJrSCxzt9g,UCvOc-PLAnbQgMTH8J7l-j6A,Undirected,1,1
UC4WvVh0AwJ6K9w1JLepce7A,UCdTX5ycRKPvTUiGu1519u4g,Undirected,1,1
