Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCAMMASsBi2u3EH4H8ie1VOw,Flo Rida Videos,https://www.youtube.com/channel/UCAMMASsBi2u3EH4H8ie1VOw,Electronic music,1394526211,20,1430
UCBRFlde39a2U4nAkmGqJwAQ,Flo Rida,https://www.youtube.com/channel/UCBRFlde39a2U4nAkmGqJwAQ,Lifestyle (sociology),7038164590,786,5980000
UC3PdiRW5dUA4V70ueeR1eHA,zayn,https://www.youtube.com/channel/UC3PdiRW5dUA4V70ueeR1eHA,Hip hop music,6024120847,106,16400000
UCy5FUarBYUHFpPtYVuvzgcA,ZaynVEVO,https://www.youtube.com/channel/UCy5FUarBYUHFpPtYVuvzgcA,Electronic music,5094075676,98,5710000
UCRZakVHslRU8dzmyX6jNU7Q,FUNKIST - Topic,https://www.youtube.com/channel/UCRZakVHslRU8dzmyX6jNU7Q,Rock music,28747504,119,559
UCsS4GcdzUm2wR-gKJomPcIQ,FUNKIST official,https://www.youtube.com/channel/UCsS4GcdzUm2wR-gKJomPcIQ,Music,34372532,334,24700
UC-4mIX9ls8ROVk9ApfeYf5w,French Montana,https://www.youtube.com/channel/UC-4mIX9ls8ROVk9ApfeYf5w,Music,4580404952,611,5950000
UCpmBpSoy6YQjcshNK6pSyIA,FrenchMontanaVEVO,https://www.youtube.com/channel/UCpmBpSoy6YQjcshNK6pSyIA,Electronic music,3523261113,110,2200000
UCuSv25h638kXRLK4WnRE5qA,Gael Will,https://www.youtube.com/channel/UCuSv25h638kXRLK4WnRE5qA,Music of Latin America,5389802,102,17200
UCy28fcjOAD027nyICkUifMg,Cindy Sanyu,https://www.youtube.com/channel/UCy28fcjOAD027nyICkUifMg,Pop music,22323794,145,135000
UCCyLTeLNwGXvodrH8QwgBdg,Oliver^_°,https://www.youtube.com/channel/UCCyLTeLNwGXvodrH8QwgBdg,Film,508756,257,835
UCjnjC4qkArPpbFRj-e0pSVw,𝙭𝙚𝙡𝙡. 🦴♡,https://www.youtube.com/channel/UCjnjC4qkArPpbFRj-e0pSVw,Entertainment,230962967,301,352000
UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,https://www.youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,Humour,5773629302,203,20800000
UCamdvUq4-BoneYsHZt0Agrw,KarissaEats,https://www.youtube.com/channel/UCamdvUq4-BoneYsHZt0Agrw,Lifestyle (sociology),4806245244,1033,4990000
